render_id,source_name,source_sample_id,ground_truth_label,market,channel,quality_tier,template_family,curation_status,notes
syn_v0_1_049,mendeley_sms_phishing,mendeley_sms_01231,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_050,uci_sms_spam_collection,uci_sms_00892,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_051,uci_sms_spam_collection,uci_sms_05008,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_052,mendeley_sms_phishing,mendeley_sms_02103,scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_053,mendeley_sms_phishing,mendeley_sms_03214,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_054,mendeley_sms_phishing,mendeley_sms_01431,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_055,mendeley_sms_phishing,mendeley_sms_05215,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_056,uci_sms_spam_collection,uci_sms_05266,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_057,uci_sms_spam_collection,uci_sms_04076,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_058,mendeley_sms_phishing,mendeley_sms_04895,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_059,mendeley_sms_phishing,mendeley_sms_05386,scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_060,mendeley_sms_phishing,mendeley_sms_01715,not_scam,us,whatsapp,medium,us_whatsapp,ready_for_render,
syn_v0_1_061,mendeley_sms_phishing,mendeley_sms_01874,scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_062,uci_sms_spam_collection,uci_sms_01336,not_scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_063,uci_sms_spam_collection,uci_sms_00456,scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_064,mendeley_sms_phishing,mendeley_sms_01306,not_scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_065,uci_sms_spam_collection,uci_sms_03030,not_scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_066,uci_sms_spam_collection,uci_sms_04167,scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_067,mendeley_sms_phishing,mendeley_sms_03620,scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_068,uci_sms_spam_collection,uci_sms_02065,scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_069,mendeley_sms_phishing,mendeley_sms_02586,not_scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_070,mendeley_sms_phishing,mendeley_sms_03097,scam,us,whatsapp,hard,us_whatsapp,ready_for_render,
syn_v0_1_071,uci_sms_spam_collection,uci_sms_03958,not_scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_072,uci_sms_spam_collection,uci_sms_01770,not_scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_073,uci_sms_spam_collection,uci_sms_01510,not_scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_074,uci_sms_spam_collection,uci_sms_03383,scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_075,uci_sms_spam_collection,uci_sms_03402,scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_076,uci_sms_spam_collection,uci_sms_05477,not_scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_077,uci_sms_spam_collection,uci_sms_03565,scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_078,mendeley_sms_phishing,mendeley_sms_01542,not_scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_079,uci_sms_spam_collection,uci_sms_01459,scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_080,uci_sms_spam_collection,uci_sms_04201,scam,us,email,hard,us_email,ready_for_render,
syn_v0_1_081,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_082,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_083,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_084,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_085,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_086,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_087,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_088,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_089,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_090,manual_curate,,unclear,india,sms,medium,india_sms,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_091,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_092,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_093,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_094,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_095,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_096,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_097,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_098,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_099,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
syn_v0_1_100,manual_curate,,unclear,us,whatsapp,hard,us_whatsapp,needs_manual_authoring,manual ambiguous/hard-case message needed
