split,label,archive_path
val,microsoft,phishIRIS_DL_Dataset/val/microsoft/microsoft_test (23).png
val,microsoft,phishIRIS_DL_Dataset/val/microsoft/microsoft_test (26).png
val,microsoft,phishIRIS_DL_Dataset/val/microsoft/microsoft_test (27).png
val,microsoft,phishIRIS_DL_Dataset/val/microsoft/microsoft_test (31).png
val,microsoft,phishIRIS_DL_Dataset/val/microsoft/microsoft_test (37).png
val,other,phishIRIS_DL_Dataset/val/other/other_test (109).jpg
val,other,phishIRIS_DL_Dataset/val/other/other_test (2).jpg
val,other,phishIRIS_DL_Dataset/val/other/other_test (335).jpg
val,other,phishIRIS_DL_Dataset/val/other/other_test (523).jpg
val,other,phishIRIS_DL_Dataset/val/other/other_test (63).jpg
val,other,phishIRIS_DL_Dataset/val/other/other_test (636).jpg
val,other,phishIRIS_DL_Dataset/val/other/other_test (693).jpg
val,other,phishIRIS_DL_Dataset/val/other/other_test (924).jpg
val,paypal,phishIRIS_DL_Dataset/val/paypal/paypal_test (22).png
val,paypal,phishIRIS_DL_Dataset/val/paypal/paypal_test (39).png
val,paypal,phishIRIS_DL_Dataset/val/paypal/paypal_test (41).png
val,paypal,phishIRIS_DL_Dataset/val/paypal/paypal_test (49).png
val,paypal,phishIRIS_DL_Dataset/val/paypal/paypal_test (53).png
val,paypal,phishIRIS_DL_Dataset/val/paypal/paypal_test (59).png
val,paypal,phishIRIS_DL_Dataset/val/paypal/paypal_test (7).png
val,paypal,phishIRIS_DL_Dataset/val/paypal/paypal_test (9).png
val,wellsfargo,phishIRIS_DL_Dataset/val/wellsfargo/wellsfargo_test (1).jpg
val,wellsfargo,phishIRIS_DL_Dataset/val/wellsfargo/wellsfargo_test (10).png
val,wellsfargo,phishIRIS_DL_Dataset/val/wellsfargo/wellsfargo_test (12).png
val,wellsfargo,phishIRIS_DL_Dataset/val/wellsfargo/wellsfargo_test (13).jpg
val,wellsfargo,phishIRIS_DL_Dataset/val/wellsfargo/wellsfargo_test (15).png
val,wellsfargo,phishIRIS_DL_Dataset/val/wellsfargo/wellsfargo_test (16).jpg
val,wellsfargo,phishIRIS_DL_Dataset/val/wellsfargo/wellsfargo_test (22).png
val,wellsfargo,phishIRIS_DL_Dataset/val/wellsfargo/wellsfargo_test (4).png
val,yahoo,phishIRIS_DL_Dataset/val/yahoo/yahoo_test (13).jpg
val,yahoo,phishIRIS_DL_Dataset/val/yahoo/yahoo_test (15).png
val,yahoo,phishIRIS_DL_Dataset/val/yahoo/yahoo_test (2).jpg
val,yahoo,phishIRIS_DL_Dataset/val/yahoo/yahoo_test (22).png
val,yahoo,phishIRIS_DL_Dataset/val/yahoo/yahoo_test (25).png
val,yahoo,phishIRIS_DL_Dataset/val/yahoo/yahoo_test (4).jpg
val,yahoo,phishIRIS_DL_Dataset/val/yahoo/yahoo_test (6).png
val,yahoo,phishIRIS_DL_Dataset/val/yahoo/yahoo_test (8).png
